time,gFx,gFy,gFz,wx,wy,wz
2026-07-01T12:03:57.610Z,-0.0016,-0.1316,-0.9835,-0.0140,0.0378,0.0021
2026-07-01T12:03:57.619Z,-0.0044,-0.1285,-0.9816,-0.0084,0.0451,0.0025
2026-07-01T12:03:57.631Z,-0.0055,-0.1273,-0.9836,-0.0045,-0.0011,-0.0075
2026-07-01T12:03:57.640Z,0.0016,-0.1292,-0.9904,-0.0110,-0.0346,-0.0086
2026-07-01T12:03:57.650Z,0.0085,-0.1315,-0.9973,-0.0208,-0.0175,-0.0034
2026-07-01T12:03:57.659Z,0.0043,-0.1330,-0.9993,-0.0288,0.0132,-0.0056
2026-07-01T12:03:57.669Z,-0.0067,-0.1330,-0.9966,-0.0321,0.0249,-0.0142
2026-07-01T12:03:57.681Z,-0.0069,-0.1317,-0.9982,-0.0077,0.0008,-0.0180
2026-07-01T12:03:57.690Z,0.0009,-0.1280,-1.0051,0.0267,-0.0385,0.0038
2026-07-01T12:03:57.700Z,0.0071,-0.1308,-1.0109,0.0558,-0.0492,0.0167
2026-07-01T12:03:57.710Z,-0.0022,-0.1352,-1.0079,0.0712,-0.0357,0.0103
2026-07-01T12:03:57.720Z,-0.0133,-0.1380,-0.9961,0.0670,-0.0061,0.0045
2026-07-01T12:03:57.730Z,-0.0088,-0.1388,-0.9839,0.0330,0.0223,0.0048
2026-07-01T12:03:57.740Z,-0.0047,-0.1391,-0.9780,-0.0077,0.0333,0.0013
2026-07-01T12:03:57.751Z,-0.0049,-0.1337,-0.9797,-0.0139,0.0063,-0.0017
2026-07-01T12:03:57.760Z,0.0005,-0.1279,-0.9859,-0.0001,-0.0226,0.0044
2026-07-01T12:03:57.770Z,0.0052,-0.1272,-0.9962,0.0178,-0.0292,0.0166
2026-07-01T12:03:57.780Z,0.0034,-0.1322,-0.9956,0.0203,-0.0208,0.0221
2026-07-01T12:03:57.790Z,-0.0048,-0.1324,-0.9914,0.0133,-0.0040,0.0147
2026-07-01T12:03:57.799Z,-0.0102,-0.1314,-0.9853,-0.0070,0.0152,0.0105
2026-07-01T12:03:57.810Z,-0.0074,-0.1331,-0.9866,-0.0092,0.0048,0.0106
2026-07-01T12:03:57.820Z,-0.0001,-0.1308,-0.9924,0.0062,-0.0333,0.0174
2026-07-01T12:03:57.831Z,0.0013,-0.1311,-0.9996,0.0060,-0.0453,0.0167
2026-07-01T12:03:57.840Z,-0.0000,-0.1357,-0.9988,-0.0039,-0.0238,0.0148
2026-07-01T12:03:57.850Z,-0.0031,-0.1415,-0.9986,-0.0154,0.0047,0.0075
2026-07-01T12:03:57.860Z,-0.0052,-0.1408,-0.9972,-0.0240,0.0193,0.0070
2026-07-01T12:03:57.870Z,-0.0070,-0.1344,-0.9948,-0.0262,0.0198,0.0007
2026-07-01T12:03:57.880Z,-0.0111,-0.1302,-0.9952,-0.0098,0.0095,-0.0009
2026-07-01T12:03:57.890Z,-0.0069,-0.1269,-0.9949,0.0010,-0.0040,0.0018
2026-07-01T12:03:57.900Z,-0.0022,-0.1289,-0.9886,0.0065,-0.0133,0.0046
2026-07-01T12:03:57.910Z,-0.0054,-0.1307,-0.9845,-0.0059,0.0013,0.0063
2026-07-01T12:03:57.920Z,-0.0081,-0.1329,-0.9818,-0.0221,0.0305,-0.0018
2026-07-01T12:03:57.933Z,-0.0092,-0.1358,-0.9804,-0.0415,0.0510,-0.0023
2026-07-01T12:03:57.939Z,-0.0058,-0.1369,-0.9847,-0.0552,0.0538,0.0005
2026-07-01T12:03:57.950Z,-0.0006,-0.1319,-0.9973,-0.0322,0.0241,0.0031
2026-07-01T12:03:57.960Z,0.0007,-0.1218,-1.0085,0.0056,-0.0117,0.0123
2026-07-01T12:03:57.970Z,0.0040,-0.1201,-1.0090,0.0351,-0.0177,0.0216
2026-07-01T12:03:57.982Z,-0.0014,-0.1274,-1.0078,0.0470,-0.0081,0.0179
2026-07-01T12:03:57.990Z,-0.0116,-0.1293,-0.9984,0.0443,0.0120,0.0104
